Fecha,Día,Mes,Año,Vacaciones,Accesos
2023-12-14,14,12,2023,0,953.0
2023-12-15,15,12,2023,0,549.0
2023-12-16,16,12,2023,0,71.0
2023-12-17,17,12,2023,0,
2023-12-18,18,12,2023,0,739.0
2023-12-19,19,12,2023,0,383.0
2023-12-20,20,12,2023,0,239.0
2023-12-21,21,12,2023,0,211.0
2023-12-22,22,12,2023,1,122.0
2023-12-23,23,12,2023,0,
2023-12-24,24,12,2023,0,
2023-12-25,25,12,2023,1,
2023-12-26,26,12,2023,1,
2023-12-27,27,12,2023,1,
2023-12-28,28,12,2023,0,
2023-12-29,29,12,2023,1,
2023-12-30,30,12,2023,0,
2023-12-31,31,12,2023,0,
2024-01-01,1,1,2024,1,
2024-01-02,2,1,2024,0,156.0
2024-01-03,3,1,2024,0,472.0
2024-01-04,4,1,2024,0,510.0
2024-01-05,5,1,2024,0,307.0
2024-01-06,6,1,2024,0,
2024-01-07,7,1,2024,0,
2024-01-08,8,1,2024,0,212.0
2024-01-09,9,1,2024,0,283.0
2024-01-10,10,1,2024,0,185.0
2024-01-11,11,1,2024,0,258.0
2024-01-12,12,1,2024,0,281.0
2024-01-13,13,1,2024,0,
2024-01-14,14,1,2024,0,
2024-01-15,15,1,2024,0,231.0
2024-01-16,16,1,2024,0,259.0
2024-01-17,17,1,2024,0,184.0
2024-01-18,18,1,2024,0,223.0
2024-01-19,19,1,2024,0,163.0
2024-01-20,20,1,2024,0,
2024-01-21,21,1,2024,0,
2024-01-22,22,1,2024,0,35.0
2024-01-23,23,1,2024,0,5.0
2024-01-24,24,1,2024,0,79.0
2024-01-25,25,1,2024,0,88.0
2024-01-26,26,1,2024,0,78.0
2024-01-27,27,1,2024,0,
2024-01-28,28,1,2024,0,
2024-01-29,29,1,2024,0,
2024-01-30,30,1,2024,0,
2024-01-31,31,1,2024,0,
2024-02-01,1,2,2024,1,
2024-02-02,2,2,2024,1,
2024-02-03,3,2,2024,0,
2024-02-04,4,2,2024,0,
2024-02-05,5,2,2024,1,
2024-02-06,6,2,2024,1,
2024-02-07,7,2,2024,1,
2024-02-08,8,2,2024,1,
2024-02-09,9,2,2024,1,
2024-02-10,10,2,2024,0,
2024-02-11,11,2,2024,0,
2024-02-12,12,2,2024,1,
2024-02-13,13,2,2024,1,
2024-02-14,14,2,2024,1,
2024-02-15,15,2,2024,1,
2024-02-16,16,2,2024,1,
2024-02-17,17,2,2024,0,
2024-02-18,18,2,2024,0,
2024-02-19,19,2,2024,1,
2024-02-20,20,2,2024,1,
2024-02-21,21,2,2024,1,
2024-02-22,22,2,2024,1,
2024-02-23,23,2,2024,1,
2024-02-24,24,2,2024,0,
2024-02-25,25,2,2024,0,
2024-02-26,26,2,2024,1,54.0
2024-02-27,27,2,2024,1,91.0
2024-02-28,28,2,2024,1,112.0
2024-02-29,29,2,2024,1,114.0
2024-03-01,1,3,2024,1,120.0
2024-03-02,2,3,2024,0,
2024-03-03,3,3,2024,0,
2024-03-04,4,3,2024,0,1732.0
2024-03-05,5,3,2024,0,1726.0
2024-03-06,6,3,2024,0,1826.0
2024-03-07,7,3,2024,0,2243.0
2024-03-08,8,3,2024,0,2010.0
2024-03-09,9,3,2024,0,141.0
2024-03-10,10,3,2024,0,
2024-03-11,11,3,2024,0,2660.0
2024-03-12,12,3,2024,0,2657.0
2024-03-13,13,3,2024,0,2821.0
2024-03-14,14,3,2024,0,2886.0
2024-03-15,15,3,2024,0,2384.0
2024-03-16,16,3,2024,0,216.0
2024-03-17,17,3,2024,0,
2024-03-18,18,3,2024,0,2978.0
2024-03-19,19,3,2024,0,3062.0
2024-03-20,20,3,2024,0,2733.0
2024-03-21,21,3,2024,0,
2024-03-22,22,3,2024,0,
2024-03-23,23,3,2024,0,
2024-03-24,24,3,2024,0,
2024-03-25,25,3,2024,0,
2024-03-26,26,3,2024,0,3569.0
2024-03-27,27,3,2024,0,2714.0
2024-03-28,28,3,2024,0,1903.0
2024-03-29,29,3,2024,0,
2024-03-30,30,3,2024,0,
2024-03-31,31,3,2024,0,
2024-04-01,1,4,2024,0,3532.0
2024-04-02,2,4,2024,0,2869.0
2024-04-03,3,4,2024,0,3788.0
2024-04-04,4,4,2024,0,3398.0
2024-04-05,5,4,2024,0,2777.0
2024-04-06,6,4,2024,0,448.0
2024-04-07,7,4,2024,0,
2024-04-08,8,4,2024,0,4785.0
2024-04-09,9,4,2024,0,4330.0
2024-04-10,10,4,2024,0,
2024-04-11,11,4,2024,0,3733.0
2024-04-12,12,4,2024,0,3573.0
2024-04-13,13,4,2024,0,637.0
2024-04-14,14,4,2024,0,
2024-04-15,15,4,2024,0,3796.0
2024-04-16,16,4,2024,0,4011.0
2024-04-17,17,4,2024,0,3868.0
2024-04-18,18,4,2024,0,3629.0
2024-04-19,19,4,2024,0,2983.0
2024-04-20,20,4,2024,0,712.0
2024-04-21,21,4,2024,0,5.0
2024-04-22,22,4,2024,0,3992.0
2024-04-23,23,4,2024,0,3920.0
2024-04-24,24,4,2024,0,3814.0
2024-04-25,25,4,2024,0,3550.0
2024-04-26,26,4,2024,0,2504.0
2024-04-27,27,4,2024,0,660.0
2024-04-28,28,4,2024,0,2.0
2024-04-29,29,4,2024,0,2559.0
2024-04-30,30,4,2024,0,
2024-05-01,1,5,2024,0,
2024-05-02,2,5,2024,0,3435.0
2024-05-03,3,5,2024,0,2687.0
2024-05-04,4,5,2024,0,626.0
2024-05-05,5,5,2024,0,
2024-05-06,6,5,2024,0,3227.0
2024-05-07,7,5,2024,0,3653.0
2024-05-08,8,5,2024,0,3683.0
2024-05-09,9,5,2024,0,3491.0
2024-05-10,10,5,2024,0,2561.0
2024-05-11,11,5,2024,0,96.0
2024-05-12,12,5,2024,0,
2024-05-13,13,5,2024,1,357.0
2024-05-14,14,5,2024,1,385.0
2024-05-15,15,5,2024,1,379.0
2024-05-16,16,5,2024,1,396.0
2024-05-17,17,5,2024,1,70.0
2024-05-18,18,5,2024,0,
2024-05-19,19,5,2024,0,
2024-05-20,20,5,2024,1,
2024-05-21,21,5,2024,1,
2024-05-22,22,5,2024,0,3055.0
2024-05-23,23,5,2024,0,3212.0
2024-05-24,24,5,2024,0,2827.0
2024-05-25,25,5,2024,0,512.0
2024-05-26,26,5,2024,0,6.0
2024-05-27,27,5,2024,0,3357.0
2024-05-28,28,5,2024,0,2961.0
2024-05-29,29,5,2024,0,3332.0
2024-05-30,30,5,2024,0,3210.0
2024-05-31,31,5,2024,0,2275.0
2024-06-01,1,6,2024,0,470.0
2024-06-02,2,6,2024,0,
2024-06-03,3,6,2024,0,2806.0
2024-06-04,4,6,2024,0,2720.0
2024-06-05,5,6,2024,0,1757.0
2024-06-06,6,6,2024,0,2428.0
2024-06-07,7,6,2024,0,2282.0
2024-06-08,8,6,2024,0,329.0
2024-06-09,9,6,2024,0,
2024-06-10,10,6,2024,0,2906.0
2024-06-11,11,6,2024,0,780.0
2024-06-12,12,6,2024,0,
2024-06-13,13,6,2024,0,
2024-06-14,14,6,2024,0,
2024-06-15,15,6,2024,0,
2024-06-16,16,6,2024,0,
2024-06-17,17,6,2024,0,3140.0
2024-06-18,18,6,2024,0,3587.0
2024-06-19,19,6,2024,0,3132.0
2024-06-20,20,6,2024,1,
2024-06-21,21,6,2024,1,
2024-06-22,22,6,2024,0,
2024-06-23,23,6,2024,0,
2024-06-24,24,6,2024,0,
2024-06-25,25,6,2024,0,3410.0
2024-06-26,26,6,2024,0,3354.0
2024-06-27,27,6,2024,0,3101.0
2024-06-28,28,6,2024,0,2544.0
2024-06-29,29,6,2024,1,
2024-06-30,30,6,2024,0,
2024-07-01,1,7,2024,1,1.0
2024-07-02,2,7,2024,1,
2024-07-03,3,7,2024,1,
2024-07-04,4,7,2024,1,
2024-07-05,5,7,2024,1,
2024-07-06,6,7,2024,0,
2024-07-07,7,7,2024,0,
2024-07-08,8,7,2024,0,1480.0
2024-07-09,9,7,2024,0,1222.0
2024-07-10,10,7,2024,0,1335.0
2024-07-11,11,7,2024,0,1046.0
2024-07-12,12,7,2024,0,696.0
2024-07-13,13,7,2024,0,34.0
2024-07-14,14,7,2024,0,
2024-07-15,15,7,2024,1,
2024-07-16,16,7,2024,1,
2024-07-17,17,7,2024,0,1054.0
2024-07-18,18,7,2024,0,415.0
2024-07-19,19,7,2024,0,236.0
2024-07-20,20,7,2024,0,163.0
2024-07-21,21,7,2024,0,
2024-07-22,22,7,2024,0,235.0
2024-07-23,23,7,2024,0,176.0
2024-07-24,24,7,2024,0,147.0
2024-07-25,25,7,2024,0,109.0
2024-07-26,26,7,2024,0,109.0
2024-07-27,27,7,2024,0,48.0
2024-07-28,28,7,2024,0,
2024-07-29,29,7,2024,0,135.0
2024-07-30,30,7,2024,0,130.0
2024-07-31,31,7,2024,0,91.0
2024-08-01,1,8,2024,0,30.0
2024-08-02,2,8,2024,0,76.0
2024-08-03,3,8,2024,0,10.0
2024-08-04,4,8,2024,0,
2024-08-05,5,8,2024,0,946.0
2024-08-06,6,8,2024,0,1181.0
2024-08-07,7,8,2024,0,1323.0
2024-08-08,8,8,2024,0,1283.0
2024-08-09,9,8,2024,0,1024.0
2024-08-10,10,8,2024,0,148.0
2024-08-11,11,8,2024,0,
2024-08-12,12,8,2024,0,1457.0
2024-08-13,13,8,2024,0,1749.0
2024-08-14,14,8,2024,0,1519.0
2024-08-15,15,8,2024,1,
2024-08-16,16,8,2024,1,
2024-08-17,17,8,2024,0,
2024-08-18,18,8,2024,0,
2024-08-19,19,8,2024,0,
2024-08-20,20,8,2024,0,2085.0
2024-08-21,21,8,2024,0,2190.0
2024-08-22,22,8,2024,0,2049.0
2024-08-23,23,8,2024,0,1659.0
2024-08-24,24,8,2024,0,372.0
2024-08-25,25,8,2024,0,
2024-08-26,26,8,2024,0,2429.0
2024-08-27,27,8,2024,0,2635.0
2024-08-28,28,8,2024,0,2547.0
2024-08-29,29,8,2024,0,2383.0
2024-08-30,30,8,2024,0,1731.0
2024-08-31,31,8,2024,0,434.0
2024-09-01,1,9,2024,0,1.0
2024-09-02,2,9,2024,0,2863.0
2024-09-03,3,9,2024,0,3030.0
2024-09-04,4,9,2024,0,3089.0
2024-09-05,5,9,2024,0,2842.0
2024-09-06,6,9,2024,0,1494.0
2024-09-07,7,9,2024,0,271.0
2024-09-08,8,9,2024,0,
2024-09-09,9,9,2024,0,3454.0
2024-09-10,10,9,2024,0,3204.0
2024-09-11,11,9,2024,0,2401.0
2024-09-12,12,9,2024,0,2892.0
2024-09-13,13,9,2024,0,1715.0
2024-09-14,14,9,2024,0,143.0
2024-09-15,15,9,2024,0,
2024-09-16,16,9,2024,1,137.0
2024-09-17,17,9,2024,1,14.0
2024-09-18,18,9,2024,1,
2024-09-19,19,9,2024,1,
2024-09-20,20,9,2024,1,
2024-09-21,21,9,2024,0,
2024-09-22,22,9,2024,0,
2024-09-23,23,9,2024,0,2258.0
2024-09-24,24,9,2024,0,3164.0
2024-09-25,25,9,2024,0,3302.0
2024-09-26,26,9,2024,0,3123.0
2024-09-27,27,9,2024,0,2304.0
2024-09-28,28,9,2024,0,592.0
2024-09-29,29,9,2024,0,
2024-09-30,30,9,2024,0,2619.0
2024-10-01,1,10,2024,0,3133.0
2024-10-02,2,10,2024,0,3369.0
2024-10-03,3,10,2024,0,2960.0
2024-10-04,4,10,2024,0,2407.0
2024-10-05,5,10,2024,0,728.0
2024-10-06,6,10,2024,0,1.0
2024-10-07,7,10,2024,0,3051.0
2024-10-08,8,10,2024,0,3453.0
2024-10-09,9,10,2024,0,3266.0
2024-10-10,10,10,2024,0,3026.0
2024-10-11,11,10,2024,0,1699.0
2024-10-12,12,10,2024,1,
2024-10-13,13,10,2024,0,
2024-10-14,14,10,2024,0,2898.0
2024-10-15,15,10,2024,0,2837.0
2024-10-16,16,10,2024,0,2750.0
2024-10-17,17,10,2024,0,2767.0
2024-10-18,18,10,2024,0,2338.0
2024-10-19,19,10,2024,0,545.0
2024-10-20,20,10,2024,0,1.0
2024-10-21,21,10,2024,0,2568.0
2024-10-22,22,10,2024,0,2571.0
2024-10-23,23,10,2024,0,2744.0
2024-10-24,24,10,2024,0,2254.0
2024-10-25,25,10,2024,0,1380.0
2024-10-26,26,10,2024,0,281.0
2024-10-27,27,10,2024,0,2.0
2024-10-28,28,10,2024,0,2021.0
2024-10-29,29,10,2024,0,2253.0
2024-10-30,30,10,2024,0,1251.0
2024-10-31,31,10,2024,1,
2024-11-01,1,11,2024,1,
2024-11-02,2,11,2024,0,
2024-11-03,3,11,2024,0,
2024-11-04,4,11,2024,0,2394.0
2024-11-05,5,11,2024,0,2066.0
2024-11-06,6,11,2024,0,2517.0
2024-11-07,7,11,2024,0,2299.0
2024-11-08,8,11,2024,0,1740.0
2024-11-09,9,11,2024,0,332.0
2024-11-10,10,11,2024,0,5.0
2024-11-11,11,11,2024,0,2402.0
2024-11-12,12,11,2024,0,2727.0
2024-11-13,13,11,2024,0,2489.0
2024-11-14,14,11,2024,0,2306.0
2024-11-15,15,11,2024,0,1847.0
2024-11-16,16,11,2024,0,569.0
2024-11-17,17,11,2024,0,2.0
2024-11-18,18,11,2024,0,2769.0
2024-11-19,19,11,2024,0,3071.0
2024-11-20,20,11,2024,0,2824.0
2024-11-21,21,11,2024,0,2937.0
2024-11-22,22,11,2024,0,2210.0
2024-11-23,23,11,2024,0,136.0
2024-11-24,24,11,2024,0,
2024-11-25,25,11,2024,0,3023.0
2024-11-26,26,11,2024,0,3296.0
2024-11-27,27,11,2024,0,3164.0
2024-11-28,28,11,2024,0,2862.0
2024-11-29,29,11,2024,0,2439.0
2024-11-30,30,11,2024,0,871.0
2024-12-01,1,12,2024,0,6.0
2024-12-02,2,12,2024,0,3166.0
2024-12-03,3,12,2024,0,2916.0
2024-12-04,4,12,2024,0,2965.0
2024-12-05,5,12,2024,0,2005.0
2024-12-06,6,12,2024,0,2033.0
2024-12-07,7,12,2024,0,475.0
2024-12-08,8,12,2024,0,
2024-12-09,9,12,2024,0,1539.0
2024-12-10,10,12,2024,0,1410.0
2024-12-11,11,12,2024,0,1109.0
2024-12-12,12,12,2024,0,1020.0
2024-12-13,13,12,2024,0,651.0
2024-12-14,14,12,2024,0,316.0
2024-12-15,15,12,2024,0,1.0
2024-12-16,16,12,2024,0,881.0
2024-12-17,17,12,2024,0,584.0
2024-12-18,18,12,2024,0,320.0
2024-12-19,19,12,2024,0,166.0
2024-12-20,20,12,2024,0,186.0
2024-12-21,21,12,2024,0,
2024-12-22,22,12,2024,0,
2024-12-23,23,12,2024,0,127.0
2024-12-24,24,12,2024,0,14.0
2024-12-25,25,12,2024,1,
2024-12-26,26,12,2024,1,
2024-12-27,27,12,2024,1,
2024-12-28,28,12,2024,0,
2024-12-29,29,12,2024,0,
2024-12-30,30,12,2024,1,
2024-12-31,31,12,2024,1,
2025-01-01,1,1,2025,0,
2025-01-02,2,1,2025,0,65.0
2025-01-03,3,1,2025,0,96.0
2025-01-04,4,1,2025,0,
2025-01-05,5,1,2025,0,
2025-01-06,6,1,2025,0,575.0
2025-01-07,7,1,2025,0,609.0
2025-01-08,8,1,2025,0,684.0
2025-01-09,9,1,2025,0,619.0
2025-01-10,10,1,2025,0,403.0
2025-01-11,11,1,2025,0,139.0
2025-01-12,12,1,2025,0,
2025-01-13,13,1,2025,0,627.0
2025-01-14,14,1,2025,0,698.0
2025-01-15,15,1,2025,0,641.0
2025-01-16,16,1,2025,0,684.0
2025-01-17,17,1,2025,0,334.0
2025-01-18,18,1,2025,0,71.0
2025-01-19,19,1,2025,0,
2025-01-20,20,1,2025,0,636.0
2025-01-21,21,1,2025,0,596.0
2025-01-22,22,1,2025,0,625.0
2025-01-23,23,1,2025,0,533.0
2025-01-24,24,1,2025,0,541.0
2025-01-25,25,1,2025,0,186.0
2025-01-26,26,1,2025,0,
2025-01-27,27,1,2025,0,561.0
2025-01-28,28,1,2025,0,364.0
2025-01-29,29,1,2025,0,234.0
2025-01-30,30,1,2025,0,147.0
2025-01-31,31,1,2025,0,59.0
2025-02-01,1,2,2025,0,
2025-02-02,2,2,2025,0,
2025-02-03,3,2,2025,1,
2025-02-04,4,2,2025,1,
2025-02-05,5,2,2025,1,
2025-02-06,6,2,2025,1,
2025-02-07,7,2,2025,1,
2025-02-08,8,2,2025,0,
2025-02-09,9,2,2025,0,
2025-02-10,10,2,2025,1,
2025-02-11,11,2,2025,1,
2025-02-12,12,2,2025,1,
2025-02-13,13,2,2025,1,
2025-02-14,14,2,2025,1,
2025-02-15,15,2,2025,0,
2025-02-16,16,2,2025,0,
2025-02-17,17,2,2025,1,
2025-02-18,18,2,2025,1,
2025-02-19,19,2,2025,1,
2025-02-20,20,2,2025,1,
2025-02-21,21,2,2025,1,
2025-02-22,22,2,2025,0,
2025-02-23,23,2,2025,0,
2025-02-24,24,2,2025,1,
2025-02-25,25,2,2025,1,
2025-02-26,26,2,2025,1,
2025-02-27,27,2,2025,1,
2025-02-28,28,2,2025,1,
2025-03-01,1,3,2025,0,
2025-03-02,2,3,2025,0,
2025-03-03,3,3,2025,0,237.0
2025-03-04,4,3,2025,0,208.0
2025-03-05,5,3,2025,0,244.0
2025-03-06,6,3,2025,0,467.0
2025-03-07,7,3,2025,0,246.0
2025-03-08,8,3,2025,0,
2025-03-09,9,3,2025,0,
2025-03-10,10,3,2025,0,2056.0
2025-03-11,11,3,2025,0,2076.0
2025-03-12,12,3,2025,0,2316.0
2025-03-13,13,3,2025,0,2343.0
2025-03-14,14,3,2025,0,1960.0
2025-03-15,15,3,2025,0,141.0
2025-03-16,16,3,2025,0,
2025-03-17,17,3,2025,0,2410.0
2025-03-18,18,3,2025,0,2966.0
2025-03-19,19,3,2025,0,2930.0
2025-03-20,20,3,2025,0,2737.0
2025-03-21,21,3,2025,0,2262.0
2025-03-22,22,3,2025,0,222.0
2025-03-23,23,3,2025,0,
2025-03-24,24,3,2025,0,3035.0
2025-03-25,25,3,2025,0,2947.0
2025-03-26,26,3,2025,0,2968.0
2025-03-27,27,3,2025,0,3325.0
2025-03-28,28,3,2025,0,2413.0
2025-03-29,29,3,2025,0,198.0
2025-03-30,30,3,2025,0,
2025-03-31,31,3,2025,0,3373.0
2025-04-01,1,4,2025,0,3514.0
2025-04-02,2,4,2025,0,3695.0
2025-04-03,3,4,2025,0,3613.0
2025-04-04,4,4,2025,0,2610.0
2025-04-05,5,4,2025,0,603.0
2025-04-06,6,4,2025,0,
2025-04-07,7,4,2025,0,3990.0
2025-04-08,8,4,2025,0,3923.0
2025-04-09,9,4,2025,0,4248.0
2025-04-10,10,4,2025,0,3976.0
2025-04-11,11,4,2025,0,3140.0
2025-04-12,12,4,2025,0,852.0
2025-04-13,13,4,2025,0,10.0
2025-04-14,14,4,2025,0,4218.0
2025-04-15,15,4,2025,0,4216.0
2025-04-16,16,4,2025,0,4145.0
2025-04-17,17,4,2025,0,1592.0
2025-04-18,18,4,2025,1,
2025-04-19,19,4,2025,0,
2025-04-20,20,4,2025,0,
2025-04-21,21,4,2025,0,3841.0
2025-04-22,22,4,2025,0,3639.0
2025-04-23,23,4,2025,0,2867.0
2025-04-24,24,4,2025,0,2544.0
2025-04-25,25,4,2025,0,1356.0
2025-04-26,26,4,2025,0,526.0
2025-04-27,27,4,2025,0,4.0
2025-04-28,28,4,2025,0,2400.0
2025-04-29,29,4,2025,0,2568.0
2025-04-30,30,4,2025,0,1705.0
2025-05-01,1,5,2025,1,
2025-05-02,2,5,2025,1,
2025-05-03,3,5,2025,0,
2025-05-04,4,5,2025,0,
2025-05-05,5,5,2025,0,2750.0
2025-05-06,6,5,2025,0,1866.0
2025-05-07,7,5,2025,0,2254.0
